StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q42,Q45,Q3,Q37,Q38,Q25#1_2,Q25#1_3,Q25#1_33,Q25#1_37,Q25#1_6,Q25#1_7,Q25#2_2,Q25#2_3,Q25#2_33,Q25#2_37,Q25#2_6,Q25#2_7,Q25#3_2,Q25#3_3,Q25#3_33,Q25#3_37,Q25#3_6,Q25#3_7,Q25#4_2,Q25#4_3,Q25#4_33,Q25#4_37,Q25#4_6,Q25#4_7,Q25#5_2,Q25#5_3,Q25#5_33,Q25#5_37,Q25#5_6,Q25#5_7,Q34#1_2,Q34#1_3,Q34#1_33,Q34#1_37,Q34#1_6,Q34#1_7,Q36,Q36_3_TEXT,Q30,Q31,Q39,Q17,Q18,Q9,Q32,Q47,Q31,Q33,Q48,Q34,Q35,Q49,Q19,Q20,Q37,Q38,Q39,Q40,Q44,Q41,Q42,Q43,Q43,MTurkCode
2017-10-20 15:43:35,2017-10-20 15:46:08,IP Address,66.74.58.125,100,152,True,2017-10-20 15:46:09,R_3ERNUUrCRq4rPe2,,,,,34.153701782227,-116.41889953613,anonymous,EN,"Refrigerator,Clothes Dryer,Clothes Washer,Water Heater","Clothes Dryer,Clothes Washer",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Own,,No,,Mostly older (more than 5 years),Southern California Edison (SCE),,,,,,,,,,,"Spouse, domestic partner, or roommate",,51-60 years old,Female,Asian,"$21,000-$80,000",Some college,2,92252,,A1RG66DYKTZQN0,26199159
2017-10-20 15:42:46,2017-10-20 15:46:22,IP Address,108.185.80.112,100,216,True,2017-10-20 15:46:22,R_12btE0xwYzeQWO8,,,,,33.923095703125,-118.13960266113,anonymous,EN,"Refrigerator,Clothes Dryer,Clothes Washer,Water Heater,Pool pump/motor","Refrigerator,Clothes Dryer,Clothes Washer,Water Heater,Pool pump/motor",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rent,,Yes,2008,Mostly newer (5 years old or less),Southern California Edison (SCE),,,,,,,,,,,You,,31-40 years old,Male,Asian,"$81,000-$160,000",Bachelor's degree or higher,3,90670,,AVFHRN0S32V2H,32959616
2017-10-20 15:44:30,2017-10-20 15:46:50,IP Address,134.186.23.239,100,140,True,2017-10-20 15:46:50,R_27rliHDWIY08U6T,,,,,38.408798217773,-121.37159729004,anonymous,EN,"Refrigerator,Window Air Conditioner,Clothes Dryer,Clothes Washer,Water Heater,Pool pump/motor","Clothes Dryer,Clothes Washer,Water Heater,Pool pump/motor",Pool pump/motor,,,,,,,,1-3 years,,,,,,No,,,,,,$51-100,,,,,,0-30 days,,,,,,Yes,,,,,,,Rent,,,,Mostly older (more than 5 years),Sacramento Municipal Utility District (SMUD),,,,,,,,,,,You,,31-40 years old,Female,White,"$81,000-$160,000",Bachelor's degree or higher,3,95829,no,A1B8JE9KHYBRTO,17538898
2017-10-20 15:45:16,2017-10-20 15:46:51,IP Address,174.134.120.68,100,94,True,2017-10-20 15:46:51,R_1jTzOei5183N8EU,,,,,35.345596313477,-119.07559967041,anonymous,EN,"Refrigerator,Clothes Dryer,Clothes Washer,Water Heater","Refrigerator,Clothes Dryer,Clothes Washer",Refrigerator,,,Less than 1 year,,,,,,No,,,,,,$50 or less,,,,,,0-30 days,,,,,,Yes,,,,,,,,,,,,Own,,Yes,2017,Mostly newer (5 years old or less),Pacific Gas and Electric Company (PG&E),,Energy Savings Assistance Program,,,,,,,,,"Spouse, domestic partner, or roommate",,21-30 years old,Female,White,"$21,000-$80,000",High school graduate or GED,4,93309,,A1I4N5DWJBTZ5C,93008611
2017-10-20 15:43:51,2017-10-20 15:47:49,IP Address,104.62.181.53,100,238,True,2017-10-20 15:47:49,R_yCqdEUoaKLXBmZb,,,,,32.719100952148,-117.16070556641,anonymous,EN,"Refrigerator,Clothes Dryer,Clothes Washer,Water Heater","Refrigerator,Window Air Conditioner",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Own,,Yes,2016,Mostly newer (5 years old or less),San Diego Gas & Electric (SDG&E),,,,,,,,,,,You,,21-30 years old,Male,White,"$81,000-$160,000",Bachelor's degree or higher,2,92101,no,AMYRVTU53MLYO,75250161
2017-10-20 15:43:00,2017-10-20 15:47:54,IP Address,108.185.235.3,100,294,True,2017-10-20 15:47:54,R_1qV6tOzEJXTmlO5,,,,,34.406494140625,-118.4015045166,anonymous,EN,"Refrigerator,Clothes Dryer,Clothes Washer,Water Heater",Water Heater,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rent,,Yes,2010,Mostly older (more than 5 years),Southern California Edison (SCE),,,,,California Alternate Rates for Energy (CARE),,1-6 months,,,,You,,41-50 years old,Female,White,"$21,000-$80,000",Some college,2,91381,,A1RJ2LORL5PJHS,87211500
2017-10-20 15:43:36,2017-10-20 15:48:03,IP Address,184.183.173.159,100,267,True,2017-10-20 15:48:03,R_C9dVX6dyYApITIt,,,,,32.795196533203,-116.96710205078,anonymous,EN,"Refrigerator,Window Air Conditioner,Clothes Dryer,Clothes Washer,Water Heater","Refrigerator,Window Air Conditioner,Water Heater",Water Heater,,,,,,,7-10 years,,,,,,No,,,,,,$51-100,,,,,,Don't remember,,,,,,Yes,,,,,,,,Rent,,Yes,,Mostly older (more than 5 years),San Diego Gas & Electric (SDG&E),,,,,,,,,,,Other,"roommate ",31-40 years old,Male,White,Prefer not to answer,Prefer not to answer,Prefer not to answer,92119,,AB1X97ASE626Q,36533648
2017-10-20 15:45:38,2017-10-20 15:48:34,IP Address,207.163.116.23,100,175,True,2017-10-20 15:48:34,R_pEsRntgBdGAlTup,,,,,37.567001342773,-121.98289489746,anonymous,EN,"Refrigerator,Clothes Dryer,Clothes Washer,Water Heater","Refrigerator,Clothes Dryer,Clothes Washer","Refrigerator,Clothes Dryer,Clothes Washer",,,Don't remember,,1-3 years,1-3 years,,,Yes,,No,No,,,$50 or less,,$50 or less,$50 or less,,,0-30 days,,0-30 days,0-30 days,,,Yes,,Yes,Yes,,,Sold it,,,,,,Own,,Yes,2013,Mostly newer (5 years old or less),Pacific Gas and Electric Company (PG&E),,SmartRate,,,,,,,,,You,,31-40 years old,Female,"White,Asian","$21,000-$80,000",Bachelor's degree or higher,1,94536,,A3A1GBZF928EXU,28088814
2017-10-20 15:47:28,2017-10-20 15:49:41,IP Address,107.146.213.196,100,132,True,2017-10-20 15:49:41,R_POFqGR1FbvE5mWR,,,,,35.333892822266,-119.0225982666,anonymous,EN,"Refrigerator,Window Air Conditioner,Clothes Dryer,Clothes Washer,Water Heater","Refrigerator,Window Air Conditioner,Clothes Dryer,Clothes Washer",Refrigerator,,,Don't remember,,,,,,Yes,,,,,,Don't remember,,,,,,Don't remember,,,,,,Yes,,,,,,Sold it,,,,,,Rent,,No,,Mostly newer (5 years old or less),Pacific Gas and Electric Company (PG&E),,Other,none,,,,,,,,You,,31-40 years old,Male,White,"$21,000-$80,000",High school graduate or GED,2,93304,thanks,A1PTX4IB9R34LI,86078923
2017-10-20 15:45:01,2017-10-20 15:50:09,IP Address,50.38.109.152,100,308,True,2017-10-20 15:50:09,R_269gutWusazt5nd,,,,,45.496200561523,-122.8018951416,anonymous,EN,"Refrigerator,Water Heater",Clothes Washer,,Yes,"It's possible that a rebate was I was uninformed about its availability. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rent,,Yes,2017,Mostly older (more than 5 years),Pacific Gas and Electric Company (PG&E),,,,,,,,,,,Landlord,,61-70 years old,Male,White,"<$20,000",Bachelor's degree or higher,1,97381,,A2H1QUGX0SOUMH,23596993
2017-10-20 15:46:23,2017-10-20 15:50:41,IP Address,99.105.102.186,100,258,True,2017-10-20 15:50:41,R_241VGoCHIltfIMi,,,,,33.875503540039,-117.99349975586,anonymous,EN,"Refrigerator,Window Air Conditioner,Clothes Dryer,Clothes Washer,Water Heater","Refrigerator,Water Heater","Refrigerator,Water Heater",,,4-6 years,,,,1-3 years,,No,,,,No,,$50 or less,,,,$51-100,,0-30 days,,,,0-30 days,,Yes,,,,Yes,,,,,,,,Own,,No,,Mostly older (more than 5 years),Southern California Edison (SCE),,,,,Energy Savings Assistance Program,,,,,,You,,51-60 years old,Male,White,"$21,000-$80,000",Some college,2,90638,,A2VTWFWUQI1BWD,58496767
2017-10-20 15:45:47,2017-10-20 15:50:49,IP Address,108.247.115.21,100,301,True,2017-10-20 15:50:49,R_Df7d8n6hwSr5RG9,,,,,33.735794067383,-118.29229736328,anonymous,EN,"Refrigerator,Clothes Washer,Water Heater",Refrigerator,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rent,,No,,Mostly older (more than 5 years),Los Angeles Department of Water and Power (LADWP),,,,,,,,,,,You,,41-50 years old,Male,Hispanic or Latino,"<$20,000",High school graduate or GED,2,90731,No comments,AUOLR6JOD7STS,98378542
2017-10-20 15:49:09,2017-10-20 15:50:53,IP Address,97.84.69.195,100,104,True,2017-10-20 15:50:54,R_RsIOxnkx13G3A7D,,,,,37.069198608398,-121.55670166016,anonymous,EN,"Refrigerator,Clothes Dryer,Clothes Washer,Water Heater,Pool pump/motor",Clothes Washer,Clothes Washer,,,,,,1-3 years,,,,,,Yes,,,,,,$101-300,,,,,,>60 days,,,,,,Yes,,,,,,Recycled it,,,Rent,,Yes,,Mostly older (more than 5 years),Pacific Gas and Electric Company (PG&E),,Energy Savings Assistance Program,,,,,,,,,You,,21-30 years old,Female,"White,Hispanic or Latino","$21,000-$80,000",Some college,3,95020,,AFV6K3HVAT6AH,2345649
2017-10-20 15:49:55,2017-10-20 15:51:27,IP Address,47.145.150.17,100,92,True,2017-10-20 15:51:28,R_1H2JBTwiXoiQi7C,,,,,34.069900512695,-117.9421005249,anonymous,EN,"Refrigerator,Clothes Dryer,Clothes Washer,Water Heater",Refrigerator,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rent,,No,,Mostly newer (5 years old or less),Southern California Edison (SCE),,,,,,,,,,,You,,21-30 years old,Male,"White,Asian","$21,000-$80,000",Bachelor's degree or higher,1,91724,,A2E5PZUD6W4OA1,82782740
2017-10-20 15:48:01,2017-10-20 15:52:06,IP Address,173.244.36.2,100,244,True,2017-10-20 15:52:06,R_PLI9ZsabWigYQaR,,,,,33.448394775391,-112.07399749756,anonymous,EN,"Refrigerator,Window Air Conditioner,Clothes Dryer,Clothes Washer,Water Heater","Refrigerator,Window Air Conditioner,Clothes Dryer,Clothes Washer,Water Heater","Refrigerator,Water Heater",,,Don't remember,,,,7-10 years,,No,,,,No,,Don't remember,,,,Don't remember,,Don't remember,,,,0-30 days,,Yes,,,,Yes,,,,,,,,Own,,No,,Mostly older (more than 5 years),Southern California Edison (SCE),,,,,California Alternate Rates for Energy (CARE),,1-2 years,,,,"Spouse, domestic partner, or roommate",,21-30 years old,Male,Asian,"<$20,000",Bachelor's degree or higher,2,91776,na,A1MG7LT2628KLU,49826875
2017-10-20 15:50:02,2017-10-20 15:52:06,IP Address,189.202.85.175,100,124,True,2017-10-20 15:52:07,R_PvckBX0RnMH9gqt,,,,,32.533294677734,-117.01670074463,anonymous,EN,"Refrigerator,Clothes Dryer,Clothes Washer,Water Heater","Refrigerator,Clothes Dryer,Clothes Washer",,Yes,Too much paperwork to fill out.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rent,,No,,Mostly older (more than 5 years),Pacific Gas and Electric Company (PG&E),,,,,,,,,,,You,,31-40 years old,Male,Hispanic or Latino,"$21,000-$80,000",Some college,4,91910,Good study.,A3EWC3BN8RU33I,98308243
2017-10-20 15:50:22,2017-10-20 15:52:56,IP Address,23.112.84.225,100,154,True,2017-10-20 15:52:57,R_3hxqNAhPwKRFDj7,,,,,38.62629699707,-121.38279724121,anonymous,EN,Refrigerator,I did not purchase any of these,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rent,,Yes,2015,Mostly older (more than 5 years),Sacramento Municipal Utility District (SMUD),,,,,,,,,,,Other,parent,41-50 years old,Female,"White,Black or African American","$21,000-$80,000",Some college,2,95608,,A3MD34XEB4H6JF,44305945
2017-10-20 15:51:35,2017-10-20 15:52:58,IP Address,207.166.31.200,100,82,True,2017-10-20 15:52:58,R_3p4gCeEKfgobXgv,,,,,38.616394042969,-121.49620056152,anonymous,EN,"Refrigerator,Clothes Dryer,Clothes Washer,Water Heater,Pool pump/motor",Refrigerator,Refrigerator,,,Less than 1 year,,,,,,Yes,,,,,,$51-100,,,,,,>60 days,,,,,,Yes,,,,,,Recycled it,,,,,,Own,,No,,Mostly older (more than 5 years),Pacific Gas and Electric Company (PG&E),,Energy Savings Assistance Program,,,,,,,,,You,,31-40 years old,Male,White,"$21,000-$80,000",High school graduate or GED,1,95679,,A21qmmjhosg779,13406988
2017-10-20 15:50:44,2017-10-20 15:53:25,IP Address,199.188.128.246,100,161,True,2017-10-20 15:53:25,R_1CDWpjI8TpW7T3t,,,,,34.192092895508,-118.49240112305,anonymous,EN,"Refrigerator,Clothes Dryer,Clothes Washer,Pool pump/motor",Refrigerator,Refrigerator,,,4-6 years,,,,,,Yes,,,,,,$101-300,,,,,,0-30 days,,,,,,Yes,,,,,,Scrapped it,,,,,,Rent,,Yes,2012,Mostly newer (5 years old or less),Other,Pasadena Water and Power,,,,,,,,,,You,,31-40 years old,Male,"White,Asian",">$160,000",Bachelor's degree or higher,2,91106,,A3VE8M1BAZOMIZ,39709308
2017-10-20 15:51:28,2017-10-20 15:53:54,IP Address,162.226.190.29,100,145,True,2017-10-20 15:53:54,R_32JblqG8xievmI4,,,,,33.870300292969,-117.92530059814,anonymous,EN,"Refrigerator,Window Air Conditioner,Clothes Washer","Refrigerator,Window Air Conditioner,Clothes Washer",,Yes,I just didn't feel like dealing with the paperwork and hearing back.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rent,,Yes,2014,Mostly newer (5 years old or less),Southern California Edison (SCE),,,,,California Alternate Rates for Energy (CARE),,3-4 years,,,,You,,21-30 years old,Male,White,"<$20,000",Some college,2,92832,No.,A2LT6KC1X51FVW,36511484
